NanoHarp 250 Histogram Data			02/04/2021 12:12:20 PM
#channels per curve
1075
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
1024.0000	1024.0000	1024.0000	
#counts
2665	2369	2294	
2686	2299	2371	
2670	2363	2371	
2657	2329	2314	
2616	2340	2311	
2634	2349	2325	
2586	2327	2264	
2579	2330	2279	
2584	2266	2280	
2549	2377	2147	
2569	2284	2258	
2571	2219	2206	
2474	2245	2162	
2531	2221	2122	
2494	2203	2107	
2493	2256	2204	
2462	2245	2143	
2482	2155	2153	
2429	2165	2071	
2465	2193	2143	
2520	2182	2083	
2414	2185	2033	
2406	2130	2148	
2387	2137	2022	
2398	2189	2082	
2410	2104	1986	
2342	2023	1985	
2314	2070	2054	
2377	2120	2047	
2346	2026	2052	
2401	2116	2002	
2375	2042	2022	
2263	2013	1980	
2274	1974	1953	
2305	2030	1940	
2267	2005	1951	
2274	1889	1955	
2258	1985	1864	
2197	1927	1924	
2226	1942	1897	
2245	1908	1880	
2224	1962	1824	
2214	1914	1843	
2203	1948	1827	
2138	1909	1838	
2193	1909	1845	
2133	1901	1803	
2192	1890	1777	
2138	1841	1846	
2135	1867	1789	
2118	1802	1769	
2111	1872	1737	
2060	1818	1840	
2088	1808	1710	
2052	1815	1694	
2087	1825	1677	
2083	1770	1728	
2049	1731	1716	
2093	1692	1686	
1996	1718	1718	
1981	1763	1700	
2034	1711	1636	
2018	1703	1617	
1947	1716	1658	
1988	1698	1644	
1954	1685	1578	
1956	1775	1643	
1958	1657	1624	
1944	1699	1635	
1885	1637	1608	
1906	1626	1595	
1914	1669	1517	
1869	1710	1551	
1917	1650	1573	
1862	1640	1562	
1829	1662	1539	
1824	1571	1592	
1816	1579	1507	
1829	1581	1484	
1786	1498	1465	
1844	1536	1522	
1830	1513	1488	
1789	1561	1496	
1829	1531	1466	
1738	1504	1481	
1786	1552	1513	
1774	1533	1493	
1756	1497	1453	
1778	1503	1463	
1724	1492	1464	
1704	1494	1459	
1699	1471	1426	
1739	1411	1391	
1667	1438	1435	
1643	1439	1314	
1682	1425	1393	
1653	1434	1354	
1662	1407	1349	
1654	1430	1369	
1673	1400	1341	
1654	1368	1325	
1685	1413	1337	
1629	1377	1290	
1578	1382	1347	
1584	1388	1298	
1501	1313	1268	
1568	1352	1304	
1514	1381	1346	
1560	1376	1266	
1583	1342	1308	
1518	1363	1258	
1503	1332	1237	
1502	1297	1244	
1574	1345	1190	
1529	1312	1243	
1511	1254	1275	
1477	1284	1252	
1454	1287	1171	
1420	1307	1188	
1496	1250	1156	
1474	1268	1206	
1375	1250	1216	
1492	1242	1211	
1358	1213	1241	
1403	1260	1155	
1486	1204	1186	
1411	1222	1178	
1364	1243	1163	
1400	1174	1110	
1399	1171	1142	
1405	1205	1106	
1356	1201	1175	
1385	1159	1096	
1354	1150	1086	
1356	1157	1133	
1295	1161	1073	
1294	1145	1077	
1294	1156	1081	
1317	1113	1092	
1331	1136	1056	
1344	1080	1035	
1319	1111	1052	
1307	1122	1042	
1338	1117	1036	
1246	1081	1076	
1239	1161	1049	
1233	1095	1041	
1258	1107	1049	
1268	1093	1045	
1232	1091	1022	
1277	1061	1072	
1265	1035	946	
1197	1068	1007	
1184	1029	974	
1214	1060	997	
1136	1071	982	
