NanoHarp 250 Histogram Data			02/04/2021 11:01:44 AM
#channels per curve
1075
#display curve no.
1	2	3	4	5	6	
#memory block no.
1	2	3	4	5	6	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	1024.0000	1024.0000	
#counts
3647	3748	3870	3810	3663	3887	
3623	3700	3926	3791	3714	3884	
3649	3753	3831	3948	3735	3851	
3723	3715	3834	3868	3715	3888	
3746	3791	3918	3937	3714	3843	
3775	3754	3851	3929	3777	3895	
3642	3741	3848	3849	3719	3936	
3802	3759	3939	3984	3854	3937	
3684	3717	3903	3777	3806	3865	
3752	3762	3849	3851	3767	3884	
3789	3783	3862	3838	3735	3911	
3679	3746	3939	3902	3769	3912	
3743	3810	3838	3919	3825	3913	
3753	3779	3861	3984	3826	3933	
3903	3779	3949	3941	3925	3984	
3753	3803	4002	3850	3820	3958	
3872	3893	3964	3936	3861	3952	
3891	3799	3957	3908	3644	3950	
3876	3761	3908	3891	3792	3955	
3962	3811	3873	3775	3798	3967	
3875	3867	3893	4000	3948	3921	
3850	3925	3921	3925	3802	3988	
3821	3878	3892	3831	3778	3956	
3783	3936	3935	3947	3893	3956	
3902	3905	3868	3982	3869	3941	
3900	3980	3922	3971	3907	3957	
3929	3940	3929	3816	3911	3969	
3888	3974	3942	3921	3875	3936	
3951	3845	3956	3859	4000	3996	
3886	3853	3905	3851	3908	3961	
3933	3831	3851	3802	3827	3965	
3986	3851	3955	3914	3804	3963	
3893	3892	3866	3924	3889	3969	
3935	3932	3760	3870	3828	4001	
3837	4007	3945	3803	3836	3997	
4000	3891	3857	3809	3768	3916	
3853	3871	3732	3867	3784	3971	
3866	3852	3743	3715	3804	3960	
3893	3807	3823	3702	3712	3953	
3943	3833	3734	3856	3855	3881	
3798	3829	3702	3679	3751	3898	
3859	3814	3713	3719	3706	3894	
3767	3734	3662	3620	3803	3871	
3767	3819	3704	3602	3734	3874	
3841	3737	3527	3564	3635	3869	
3702	3649	3602	3440	3699	3836	
3844	3706	3618	3528	3719	3855	
3747	3641	3583	3521	3715	3827	
3782	3738	3550	3482	3658	3824	
3762	3676	3441	3450	3717	3821	
3792	3688	3469	3490	3659	3828	
3676	3695	3424	3473	3650	3781	
3678	3616	3380	3383	3567	3718	
3646	3626	3429	3480	3466	3789	
3648	3532	3388	3339	3590	3750	
3641	3590	3410	3357	3505	3730	
3601	3562	3405	3374	3513	3754	
3611	3541	3338	3333	3543	3765	
3679	3586	3323	3290	3498	3709	
3560	3476	3293	3328	3462	3727	
3607	3446	3191	3191	3563	3715	
3571	3471	3228	3264	3462	3633	
3487	3564	3217	3186	3412	3665	
3494	3489	3224	3115	3278	3683	
3528	3411	3185	3199	3413	3679	
3485	3418	3162	3176	3363	3605	
3520	3399	3162	3071	3268	3651	
3432	3421	3069	3131	3286	3580	
3430	3387	3072	3104	3366	3617	
3412	3382	3077	3063	3219	3610	
3363	3383	3075	3149	3179	3583	
3416	3347	3047	3161	3254	3556	
3353	3303	3025	3031	3268	3475	
3442	3293	2943	3009	3362	3523	
3330	3299	2953	3005	3192	3482	
3358	3261	2930	2994	3109	3537	
3294	3222	3005	2939	3009	3512	
3258	3251	2858	2848	3072	3489	
3313	3186	2900	2956	3167	3478	
3299	3219	2903	2932	3192	3471	
3138	3191	2895	2932	3041	3404	
3270	3165	2836	2814	3017	3525	
3276	3185	2854	2903	3075	3465	
3195	3098	2716	2791	3035	3486	
3242	3062	2803	2796	3006	3403	
3253	3157	2805	2740	2959	3366	
3096	3091	2742	2814	2967	3359	
3161	3015	2779	2753	2978	3338	
3153	3046	2744	2707	2903	3391	
3071	3138	2731	2664	2950	3329	
3079	2999	2758	2695	3096	3356	
3073	3026	2670	2773	2992	3336	
3110	3012	2628	2649	2940	3312	
3090	2949	2622	2643	2878	3342	
3126	3022	2578	2667	2869	3296	
3119	2971	2569	2646	2930	3296	
2984	2983	2621	2552	2825	3269	
2998	3030	2573	2488	2861	3255	
2943	2896	2531	2537	2908	3282	
2983	2941	2465	2522	2918	3208	
3039	2868	2516	2581	2791	3205	
2929	2813	2448	2582	2747	3267	
2936	2819	2516	2501	2763	3192	
2848	2766	2515	2550	2670	3169	
2934	2826	2477	2533	2672	3174	
2799	2736	2424	2400	2770	3186	
2900	2714	2485	2514	2706	3167	
2822	2752	2373	2553	2703	3118	
2825	2735	2378	2366	2548	3161	
2835	2766	2322	2436	2613	3143	
2739	2707	2395	2457	2596	3112	
2793	2722	2382	2373	2640	3068	
2824	2670	2326	2323	2664	3102	
2783	2658	2322	2368	2574	3063	
2728	2672	2352	2332	2467	3090	
2796	2559	2317	2385	2492	3059	
2746	2699	2334	2281	2501	3035	
2778	2689	2239	2352	2560	3061	
2624	2615	2281	2320	2566	3035	
2628	2594	2196	2246	2497	2945	
2705	2637	2199	2275	2502	3035	
2566	2640	2232	2284	2478	3024	
2670	2575	2142	2219	2389	3021	
2701	2599	2133	2177	2487	2949	
2612	2620	2177	2333	2464	2923	
2527	2519	2142	2180	2406	2929	
2653	2488	2042	2191	2391	2938	
2593	2506	2100	2314	2396	2965	
2595	2411	2088	2213	2427	2898	
2673	2427	2135	2167	2338	2913	
2536	2479	2092	2287	2399	2876	
2567	2468	2060	2157	2367	2843	
2550	2413	2078	2144	2332	2832	
2537	2473	2059	2222	2333	2838	
2540	2460	2019	2113	2400	2808	
2481	2325	2015	2083	2348	2880	
2511	2430	2021	2152	2364	2853	
2485	2351	2022	1917	2239	2815	
2392	2336	1950	2098	2243	2732	
2428	2389	1965	2066	2230	2783	
2411	2310	1928	2176	2218	2744	
2462	2383	1927	2083	2344	2774	
2433	2238	1963	2054	2289	2750	
2407	2272	1891	1959	2261	2674	
2323	2304	1910	2015	2213	2727	
2346	2271	1918	1995	2228	2717	
2381	2257	1832	1910	2210	2719	
2267	2191	1917	2026	2108	2660	
2292	2199	1835	1929	2109	2651	
2327	2234	1774	1952	2099	2578	
2337	2192	1842	2009	2085	2668	
2322	2232	1790	1950	2178	2611	
2263	2192	1722	1931	2184	2632	
2243	2127	1773	1950	2127	2612	
2224	2188	1745	1971	2110	2636	
2252	2098	1722	1922	2149	2608	
2198	2146	1720	1874	2115	2502	
2136	2108	1766	1919	2058	2536	
2172	2136	1730	1837	2101	2577	
2159	2077	1710	1877	2001	2528	
2213	2058	1674	1825	2073	2529	
2184	2048	1711	1793	1945	2579	
2120	2077	1705	1742	2023	2526	
2196	2088	1659	1815	2011	2499	
2152	2047	1609	1853	1949	2492	
2111	2062	1654	1828	2002	2431	
2060	2018	1651	1789	1952	2534	
2108	1995	1608	1788	1963	2426	
2022	2015	1546	1777	2042	2504	
2065	2063	1579	1692	1957	2458	
2100	2056	1604	1714	2017	2395	
2079	1951	1602	1809	1964	2355	
2067	2020	1561	1803	1943	2403	
2066	1905	1576	1749	1880	2410	
1954	1923	1553	1726	1941	2388	
1998	1896	1552	1770	1851	2369	
1996	1965	1513	1733	1947	2419	
2025	1867	1526	1713	1900	2355	
2047	1912	1516	1653	1862	2332	
1914	1936	1479	1585	1824	2315	
2008	1894	1510	1634	1856	2349	
2002	1909	1447	1677	1844	2297	
1905	1831	1495	1663	1824	2371	
1907	1831	1480	1627	1691	2246	
1870	1811	1433	1583	1779	2320	
1936	1823	1425	1581	1768	2267	
1867	1907	1435	1580	1785	2301	
1931	1875	1411	1556	1787	2250	
1874	1819	1377	1645	1828	2268	
1935	1784	1406	1546	1792	2237	
1879	1827	1440	1626	1806	2260	
1909	1779	1384	1633	1784	2230	
1903	1699	1345	1560	1760	2211	
1806	1694	1384	1570	1710	2187	
1837	1760	1376	1539	1694	2225	
1784	1803	1411	1557	1741	2131	
1851	1696	1278	1409	1680	2144	
1769	1681	1326	1513	1625	2161	
1802	1725	1336	1537	1662	2143	
1753	1685	1225	1505	1659	2116	
1738	1758	1318	1479	1632	2122	
1782	1640	1300	1473	1656	2095	
1720	1658	1223	1470	1606	2135	
1726	1632	1261	1453	1667	2016	
1715	1685	1293	1482	1715	2039	
1722	1652	1250	1440	1585	2063	
1684	1643	1317	1449	1565	2033	
1725	1601	1261	1502	1622	2079	
1576	1612	1210	1419	1615	2048	
1687	1598	1204	1426	1577	2027	
1685	1634	1212	1442	1638	2014	
1720	1560	1273	1392	1615	1992	
1712	1614	1233	1465	1539	2005	
1656	1552	1207	1447	1536	1995	
1653	1615	1147	1326	1532	1943	
1637	1584	1223	1287	1542	1965	
1665	1542	1137	1375	1469	1956	
1593	1596	1165	1360	1544	1977	
1639	1539	1170	1324	1512	1974	
1577	1533	1142	1379	1555	1983	
1551	1490	1163	1319	1537	1897	
1535	1488	1129	1390	1543	1930	
1596	1538	1121	1352	1463	1902	
1573	1458	1161	1371	1476	1924	
1548	1505	1142	1300	1454	1874	
1588	1510	1066	1357	1479	1899	
1562	1438	1083	1390	1475	1844	
1490	1463	1079	1313	1523	1891	
1536	1467	1094	1346	1509	1849	
1539	1461	1076	1304	1514	1888	
1610	1497	1056	1325	1433	1899	
1469	1386	1047	1286	1415	1880	
1495	1418	1076	1234	1397	1777	
1463	1444	1038	1285	1435	1779	
1427	1390	1023	1240	1450	1772	
1423	1371	1060	1280	1356	1786	
1453	1364	1047	1256	1355	1745	
1449	1369	1026	1269	1360	1824	
1464	1367	1050	1253	1352	1736	
1441	1380	984	1234	1351	1740	
1367	1309	1033	1262	1363	1746	
1422	1336	1000	1213	1350	1790	
1390	1344	983	1291	1377	1654	
1435	1330	1035	1244	1300	1721	
1427	1338	989	1134	1313	1742	
1451	1304	985	1182	1399	1673	
1376	1362	1000	1191	1368	1648	
1375	1339	971	1199	1277	1666	
1366	1304	931	1214	1264	1640	
1360	1349	1015	1175	1363	1620	
1397	1277	900	1170	1254	1663	
1368	1325	978	1137	1249	1629	
1357	1223	885	1187	1299	1695	
1290	1283	991	1133	1279	1624	
1305	1276	915	1144	1285	1663	
1268	1266	972	1191	1233	1571	
1303	1257	984	1178	1295	1631	
1322	1223	920	1156	1262	1584	
1317	1256	841	1214	1251	1553	
1281	1198	866	1078	1216	1528	
1311	1187	921	1140	1223	1537	
1294	1215	928	1093	1178	1539	
1365	1218	854	1087	1241	1594	
1249	1249	877	1060	1266	1538	
1246	1177	872	1057	1248	1512	
1288	1137	890	1104	1283	1540	
1289	1272	865	1206	1159	1537	
1253	1250	849	1087	1140	1520	
1221	1176	847	1033	1177	1515	
1221	1209	875	1100	1226	1455	
1236	1182	857	1077	1176	1492	
1189	1142	822	1088	1216	1444	
1228	1144	856	1079	1151	1473	
1233	1160	875	1051	1216	1496	
1224	1135	827	1071	1188	1443	
1234	1135	843	1089	1214	1469	
1202	1078	856	1042	1117	1453	
1184	1158	828	1009	1164	1479	
1181	1128	796	1030	1144	1495	
1112	1105	786	991	1167	1427	
1156	1084	791	1029	1126	1383	
1188	1104	787	1019	1135	1361	
1166	1096	796	1024	1083	1380	
1142	1032	765	986	1152	1426	
1131	1077	818	1058	1099	1372	
1163	1107	784	1052	1157	1406	
1092	1065	778	1064	1127	1391	
1138	1095	713	1001	1077	1368	
1101	1044	796	992	1074	1347	
1163	1125	755	1042	1138	1354	
1126	1010	757	969	1108	1342	
1048	1017	751	975	1040	1360	
1127	1103	770	964	1067	1328	
1032	1068	764	951	1079	1298	
1130	1052	709	940	1075	1289	
991	1007	733	978	1057	1365	
1077	1074	713	960	1019	1291	
1059	1007	724	955	1045	1346	
1096	1037	766	918	997	1321	
1068	975	696	1002	1028	1327	
1049	1007	717	927	1038	1336	
1051	976	714	905	1040	1259	
1034	974	700	955	1026	1271	
1031	953	777	866	965	1241	
1036	973	718	932	1007	1233	
1039	978	699	927	1040	1147	
1003	969	716	869	1002	1196	
1041	982	664	851	1040	1231	
1023	1002	657	878	986	1271	
1022	926	661	927	1016	1232	
1000	950	650	894	949	1223	
993	975	696	909	961	1249	
907	959	690	880	1007	1191	
989	926	633	946	982	1178	
942	903	670	860	1012	1161	
999	930	653	847	1011	1150	
997	917	617	812	932	1119	
949	885	604	886	957	1178	
944	891	635	914	988	1143	
973	892	647	912	961	1167	
971	912	662	858	950	1114	
1000	880	626	873	954	1144	
923	809	601	838	959	1143	
968	836	633	833	919	1079	
871	852	676	765	933	1156	
931	858	621	800	952	1153	
908	881	599	849	953	1183	
994	875	610	855	890	1139	
957	885	595	849	990	1141	
919	798	602	817	922	1060	
913	840	636	857	891	1104	
846	926	578	807	928	1113	
862	843	620	777	889	1084	
881	867	619	837	910	1062	
869	822	597	838	871	1109	
911	834	619	770	888	1100	
901	863	533	787	870	1041	
837	819	564	792	837	1032	
882	799	567	793	872	1085	
837	852	564	844	873	1068	
845	840	566	795	856	1074	
867	806	589	755	803	935	
851	816	537	773	835	1025	
874	789	617	818	875	1041	
892	797	561	780	855	1027	
839	763	582	784	875	999	
827	798	545	768	853	985	
809	747	544	740	860	1045	
790	858	559	779	842	1014	
795	776	535	749	829	1042	
821	781	513	741	887	911	
763	755	516	760	844	1001	
814	758	570	784	831	1027	
857	790	488	725	787	999	
829	759	543	712	787	927	
853	745	534	734	840	932	
768	720	516	697	845	961	
819	726	529	742	835	964	
783	718	491	740	788	930	
794	693	511	681	831	959	
819	704	509	734	862	947	
775	713	530	753	782	964	
772	725	487	692	769	916	
824	698	503	718	774	906	
758	708	511	738	848	875	
781	684	513	699	744	864	
775	713	495	707	753	943	
752	689	525	668	819	906	
750	707	479	689	737	868	
732	721	499	713	792	857	
786	720	532	648	776	940	
743	689	454	724	798	852	
726	690	490	709	770	900	
748	711	461	686	737	909	
760	743	450	688	745	889	
743	691	424	685	724	863	
748	655	492	691	733	859	
746	639	437	685	700	831	
714	665	477	672	801	820	
716	706	473	713	720	927	
697	688	471	673	726	853	
658	651	456	660	751	836	
660	658	412	652	754	850	
691	727	466	682	715	826	
